# toy 轮（30204）logcat 决定性子集
# 源文件: .cache/p33-verify-r7/logcat-live-toy.log (32087068B, sha256=d31d49688d5e2176305da7f6579f8fa3836fe4b95b6fec7eb7656fa7146d6c00)
# 采集: 2026-09-15 11:24 启动（logcat -v time 不清 buffer），11:53 自然终止
# 内容: 全部 OTA_MONO 打点(78) + OTA sent 首尾 + BLE 重连失败行
# FIRST_SENT: 09-15 11:38:03.115 I/flutter (24733): OTA sent 128/284581
# LAST_SENT:  09-15 11:42:22.179 I/flutter (24733): OTA sent 284581/284581

09-15 11:37:40.275 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=0 wallUs=1789443460275137
09-15 11:37:41.012 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=737679 wallUs=1789443461012818
09-15 11:37:53.514 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=13239043 wallUs=1789443473514342
09-15 11:38:02.768 I/flutter (24733): OTA_MONO MONO_BUDGET_START monoUs=22492937 wallUs=1789443482768078
09-15 11:38:06.989 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=26714069 wallUs=1789443486989210 durable=4096
09-15 11:38:10.497 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=30221973 wallUs=1789443490497116 durable=8192
09-15 11:38:14.324 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=34049307 wallUs=1789443494324451 durable=12288
09-15 11:38:18.113 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=37838597 wallUs=1789443498113734 durable=16384
09-15 11:38:21.612 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=41336955 wallUs=1789443501612096 durable=20480
09-15 11:38:25.394 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=45118944 wallUs=1789443505394084 durable=24576
09-15 11:38:29.037 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=48762047 wallUs=1789443509037187 durable=28672
09-15 11:38:32.501 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=52226223 wallUs=1789443512501364 durable=32768
09-15 11:38:35.969 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=55694078 wallUs=1789443515969217 durable=36864
09-15 11:38:39.430 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=59155395 wallUs=1789443519430535 durable=40960
09-15 11:38:43.121 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=62846387 wallUs=1789443523121528 durable=45056
09-15 11:38:46.766 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=66491391 wallUs=1789443526766532 durable=49152
09-15 11:38:50.187 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=69911859 wallUs=1789443530187000 durable=53248
09-15 11:38:53.829 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=73554550 wallUs=1789443533829689 durable=57344
09-15 11:38:57.434 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=77159605 wallUs=1789443537434747 durable=61440
09-15 11:39:01.436 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=81161609 wallUs=1789443541436750 durable=65536
09-15 11:39:05.081 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=84806581 wallUs=1789443545081720 durable=69632
09-15 11:39:08.911 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=88636441 wallUs=1789443548911582 durable=73728
09-15 11:39:12.550 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=92275580 wallUs=1789443552550720 durable=77824
09-15 11:39:16.646 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=96371706 wallUs=1789443556646846 durable=81920
09-15 11:39:20.379 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=100104718 wallUs=1789443560379855 durable=86016
09-15 11:39:24.211 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=103935974 wallUs=1789443564211115 durable=90112
09-15 11:39:28.412 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=108137796 wallUs=1789443568412935 durable=94208
09-15 11:39:32.035 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=111759936 wallUs=1789443572035075 durable=98304
09-15 11:39:35.682 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=115407583 wallUs=1789443575682724 durable=102400
09-15 11:39:39.330 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=119054831 wallUs=1789443579329973 durable=106496
09-15 11:39:42.881 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=122606033 wallUs=1789443582881173 durable=110592
09-15 11:39:46.570 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=126295011 wallUs=1789443586570151 durable=114688
09-15 11:39:50.484 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=130209740 wallUs=1789443590484880 durable=118784
09-15 11:39:54.144 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=133869280 wallUs=1789443594144418 durable=122880
09-15 11:39:57.780 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=137504757 wallUs=1789443597779900 durable=126976
09-15 11:40:01.647 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=141371985 wallUs=1789443601647125 durable=131072
09-15 11:40:05.428 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=145153296 wallUs=1789443605428436 durable=135168
09-15 11:40:08.981 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=148706016 wallUs=1789443608981156 durable=139264
09-15 11:40:13.081 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=152806493 wallUs=1789443613081634 durable=143360
09-15 11:40:16.902 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=156627548 wallUs=1789443616902691 durable=147456
09-15 11:40:20.637 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=160362036 wallUs=1789443620637177 durable=151552
09-15 11:40:24.328 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=164052996 wallUs=1789443624328137 durable=155648
09-15 11:40:27.928 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=167652895 wallUs=1789443627928036 durable=159744
09-15 11:40:31.865 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=171476635 wallUs=1789443631751778 durable=163840
09-15 11:40:35.627 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=175352680 wallUs=1789443635627821 durable=167936
09-15 11:40:39.177 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=178902674 wallUs=1789443639177816 durable=172032
09-15 11:40:42.866 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=182591651 wallUs=1789443642866791 durable=176128
09-15 11:40:47.067 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=186370601 wallUs=1789443646645741 durable=180224
09-15 11:40:50.571 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=190296488 wallUs=1789443650571625 durable=184320
09-15 11:40:54.160 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=193885726 wallUs=1789443654160866 durable=188416
09-15 11:40:57.896 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=197621181 wallUs=1789443657896321 durable=192512
09-15 11:41:01.451 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=201175952 wallUs=1789443661451093 durable=196608
09-15 11:41:05.184 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=204909661 wallUs=1789443665184800 durable=200704
09-15 11:41:09.056 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=208780962 wallUs=1789443669056102 durable=204800
09-15 11:41:13.106 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=212830907 wallUs=1789443673106047 durable=208896
09-15 11:41:16.796 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=216521433 wallUs=1789443676796574 durable=212992
09-15 11:41:20.636 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=220361083 wallUs=1789443680636220 durable=217088
09-15 11:41:24.447 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=224172719 wallUs=1789443684447861 durable=221184
09-15 11:41:28.046 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=227771735 wallUs=1789443688046875 durable=225280
09-15 11:41:31.694 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=231419717 wallUs=1789443691694860 durable=229376
09-15 11:41:35.432 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=235156825 wallUs=1789443695431967 durable=233472
09-15 11:41:39.345 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=239070710 wallUs=1789443699345852 durable=237568
09-15 11:41:43.347 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=243072193 wallUs=1789443703347332 durable=241664
09-15 11:41:47.577 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=247302168 wallUs=1789443707577308 durable=245760
09-15 11:41:51.267 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=250992074 wallUs=1789443711267216 durable=249856
09-15 11:41:54.957 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=254682648 wallUs=1789443714957789 durable=253952
09-15 11:41:58.378 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=258102922 wallUs=1789443718378064 durable=258048
09-15 11:42:01.844 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=261568970 wallUs=1789443721844186 durable=262144
09-15 11:42:05.396 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=265121295 wallUs=1789443725396436 durable=266240
09-15 11:42:09.797 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=268810353 wallUs=1789443729085492 durable=270336
09-15 11:42:12.912 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=272636920 wallUs=1789443732912061 durable=274432
09-15 11:42:16.963 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=276687839 wallUs=1789443736962980 durable=278528
09-15 11:42:20.570 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=280294825 wallUs=1789443740569966 durable=282624
09-15 11:42:22.450 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=282175199 wallUs=1789443742450340 durable=284581
09-15 11:42:22.685 I/flutter (24733): OTA_MONO MONO_END_ACK_OK monoUs=282409794 wallUs=1789443742684934 durable=284581
09-15 11:42:23.167 I/flutter (24733): OTA重连失败(e3:49:e1:14:d6:cb): PlatformException(requestMtu, device is disconnected, null, null)
09-15 11:43:25.529 I/flutter (24733): OTA_MONO MONO_REBOOT_VERIFIED monoUs=345254661 wallUs=1789443805529804
09-15 11:45:04.619 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=444343883 wallUs=1789443904619021
09-15 11:45:06.174 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=445898967 wallUs=1789443906174104
