# real 轮（30205）logcat 决定性子集
# 源文件: .cache/p33-verify-r7/logcat-live-real.log (17964197B, sha256=6a8d7d5f8c118e4a52df99ef3317a7a7cb771226ec8c6a9fcff78359625a507b)
# 采集: 2026-09-15 13:35 启动（logcat -v time 不清 buffer），13:48 停止
# 内容: 全部 OTA_MONO 打点(76) + OTA sent 首尾 + BLE 重连失败行
# FIRST_SENT: 09-15 13:41:23.111 I/flutter (24733): OTA sent 128/284590
# LAST_SENT:  09-15 13:45:28.582 I/flutter (24733): OTA sent 284590/284590

09-15 13:41:10.868 I/flutter (24733): OTA_MONO MONO_PAUSE monoUs=7410593110 wallUs=1789450870868264
09-15 13:41:22.794 I/flutter (24733): OTA_MONO MONO_BUDGET_START monoUs=7422519507 wallUs=1789450882794657
09-15 13:41:26.711 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7426436097 wallUs=1789450886711246 durable=4096
09-15 13:41:30.310 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7430035371 wallUs=1789450890310516 durable=8192
09-15 13:41:33.864 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7433589193 wallUs=1789450893864341 durable=12288
09-15 13:41:37.467 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7437192745 wallUs=1789450897467890 durable=16384
09-15 13:41:41.020 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7440745524 wallUs=1789450901020672 durable=20480
09-15 13:41:44.662 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7444387442 wallUs=1789450904662586 durable=24576
09-15 13:41:48.132 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7447856911 wallUs=1789450908132060 durable=28672
09-15 13:41:51.595 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7451320437 wallUs=1789450911595587 durable=32768
09-15 13:41:55.147 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7454872677 wallUs=1789450915147823 durable=36864
09-15 13:41:58.747 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7458472806 wallUs=1789450918747951 durable=40960
09-15 13:42:02.168 I/flutter (24733): OTA_MONO MONO_BUDGET_RESET monoUs=7461893567 wallUs=1789450922168717 durable=45056
